# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	30955
#@/user_id	arch
a 	啊	c=27 d=0.000665523 t=30955
a 	阿	c=2 d=1.50523e-17 t=30955
a er fa 	阿爾法	c=1 d=1.48156e-07 t=30955
a ha ha 	啊哈哈	c=1 d=1.20757e-13 t=30955
a li 	阿里	c=3 d=6.09778e-05 t=30955
a li yun 	阿里雲	c=6 d=1.91132e-05 t=30955
ai 	唉	c=1 d=2.01095e-13 t=30955
ai 	愛	c=2 d=0.927496 t=30955
ai che 	愛車	c=0 d=4.87333e-16 t=30955
ai che de 	愛車的	c=1 d=4.89775e-15 t=30955
ai da 	捱打	c=0 d=2.81358e-24 t=30955
ai da lei 	捱打類	c=1 d=2.82768e-23 t=30955
ai ga dong 	唉噶棟	c=1 d=3.92039e-14 t=30955
ai ke ke 	愛可可	c=2 d=0.309983 t=30955
ai she 	艾舍	c=1 d=6.38607e-19 t=30955
ai she er 	艾舍爾	c=2 d=1.20154e-13 t=30955
ai ya 	哎呀	c=1 d=7.81348e-10 t=30955
an 	按	c=15 d=0.00148848 t=30955
an 	暗	c=0 d=2.04204e-18 t=30955
an ci xu 	按次序	c=1 d=7.58516e-14 t=30955
an den deng an 	按㩐登岸	c=1 d=3.90084e-14 t=30955
an hui 	安徽	c=1 d=4.52121e-15 t=30955
an hui sheng 	安徽省	c=3 d=4.06316e-12 t=30955
an jian 	按鍵	c=1 d=4.37625e-14 t=30955
an jian 	案件	c=1 d=4.35444e-14 t=30955
an li 	案例	c=1 d=4.43144e-05 t=30955
an li hao 	案例號	c=1 d=0.000443861 t=30955
an niu 	按鈕	c=110 d=0.759127 t=30955
an pai 	安排	c=1 d=2.51921e-17 t=30955
an quan 	安全	c=8 d=0.00010622 t=30955
an ren yi 	按任意	c=1 d=3.56074e-29 t=30955
an shi 	暗示	c=1 d=2.20565e-12 t=30955
an shi jian 	暗時間	c=3 d=9.9339e-17 t=30955
an shun xu 	按順序	c=1 d=1.72221e-13 t=30955
an xi 	安息	c=0 d=4.16281e-15 t=30955
an xia 	按下	c=1 d=4.21482e-13 t=30955
an xu yao 	按需要	c=1 d=9.61935e-15 t=30955
an zhao 	按照	c=1 d=6.94669e-09 t=30955
an zhuang 	安裝	c=24 d=0.000552179 t=30955
an zhuo 	安卓	c=3 d=4.14135e-12 t=30955
ao mi 	奧祕	c=3 d=7.19659e-13 t=30955
ba 	八	c=2 d=2.23123e-13 t=30955
ba 	吧	c=36 d=0.00779175 t=30955
ba 	把	c=39 d=0.0844244 t=30955
ba da 	八大	c=0 d=9.91061e-14 t=30955
ba da fang 	八大方	c=7 d=3.57876e-06 t=30955
ba lie 	八列	c=1 d=2.56923e-13 t=30955
ba ni 	把你	c=3 d=1.0471e-12 t=30955
ba she 	跋涉	c=1 d=8.15618e-15 t=30955
ba ta 	把它	c=1 d=1.12727e-27 t=30955
bai 	擺	c=1 d=3.23198e-07 t=30955
bai 	白	c=3 d=4.01669e-07 t=30955
bai 	百	c=1 d=1.40638e-12 t=30955
bai da 	白搭	c=1 d=3.47708e-14 t=30955
bai da 	百搭	c=1 d=3.44248e-14 t=30955
bai du 	百度	c=1 d=4.9223e-16 t=30955
bai du bai ke 	百度百科	c=1 d=1.5898e-13 t=30955
bai du yun 	百度暈	c=1 d=4.94698e-15 t=30955
bai fen 	百分	c=2 d=1.90026e-12 t=30955
bai fen bi 	百分比	c=5 d=1.19421e-13 t=30955
bai fen shu 	百分數	c=2 d=3.58544e-14 t=30955
bai ke 	百科	c=1 d=3.4508e-13 t=30955
bai long 	白龍	c=0 d=8.26288e-15 t=30955
bai long si 	白龍寺	c=1 d=8.29945e-14 t=30955
bai long si 	白龍死	c=1 d=4.68226e-15 t=30955
bai ming dan 	白名單	c=1 d=3.92786e-07 t=30955
bai shi 	百世	c=1 d=0.373492 t=30955
bai shi hui tong 	百世匯通	c=1 d=0.000523486 t=30955
bai xing tao 	白興桃	c=4 d=1.18997e-07 t=30955
ban 	伴	c=1 d=1.86564e-13 t=30955
ban 	半	c=1 d=1.21069e-14 t=30955
ban 	搬	c=1 d=1.85697e-17 t=30955
ban 	板	c=5 d=0.0985112 t=30955
ban 	版	c=5 d=3.79736e-12 t=30955
ban 	班	c=1 d=1.45296e-13 t=30955
ban 	辦	c=2 d=5.75852e-08 t=30955
ban ben 	版本	c=25 d=2.41314e-06 t=30955
ban ben ku 	版本庫	c=5 d=1.29178e-12 t=30955
ban che 	班車	c=2 d=2.69958e-07 t=30955
ban fa 	辦法	c=2 d=2.43174e-13 t=30955
ban jia qi 	半加器	c=1 d=8.59507e-14 t=30955
ban jiao 	半角	c=2 d=7.95368e-13 t=30955
ban li 	辦理	c=2 d=2.86345e-27 t=30955
ban lv 	伴侶	c=1 d=8.0375e-19 t=30955
ban wa gong 	板瓦工	c=2 d=3.71399e-17 t=30955
ban zhang 	辦張	c=1 d=1.43304e-27 t=30955
bang 	棒	c=2 d=2.24906e-06 t=30955
bang de 	綁的	c=1 d=0.000212834 t=30955
bang ding 	綁定	c=18 d=0.00130725 t=30955
bang ku 	綁庫	c=2 d=9.28217e-07 t=30955
bang ni 	幫你	c=1 d=1.8287e-13 t=30955
bao 	包	c=45 d=0.955997 t=30955
bao 	報	c=6 d=7.89075e-08 t=30955
bao 	孢	c=1 d=1.2197e-13 t=30955
bao biao 	報表	c=2 d=5.47125e-13 t=30955
bao chi 	保持	c=5 d=6.48798e-15 t=30955
bao cun 	保存	c=126 d=1.84853 t=30955
bao cun zai 	保存在	c=1 d=1.92711e-12 t=30955
bao cuo 	報錯	c=17 d=1.68289e-06 t=30955
bao gao 	報告	c=1 d=1.15145e-12 t=30955
bao ge 	抱個	c=1 d=3.33211e-13 t=30955
bao gui 	寶貴	c=1 d=2.61481e-14 t=30955
bao han 	包含	c=4 d=0.00379394 t=30955
bao jia 	報價	c=370 d=0.246515 t=30955
bao jia dan 	報價單	c=1 d=3.19156e-06 t=30955
bao jia dan hao 	報價單號	c=1 d=4.90444e-31 t=30955
bao jia fang 	報價方	c=5 d=0.0544757 t=30955
bao jia ri qi 	報價日期	c=1 d=3.96046e-16 t=30955
bao kuo 	包括	c=1 d=2.16418e-24 t=30955
bao li 	包裏	c=2 d=2.61672e-12 t=30955
bao liu 	保留	c=13 d=5.84461e-10 t=30955
bao lu 	暴露	c=1 d=8.72499e-14 t=30955
bao ming 	包名	c=3 d=0.00219006 t=30955
bao pan 	報盤	c=1 d=1.17775e-13 t=30955
bao shui 	保稅	c=15 d=0.00137752 t=30955
bao shui qu fen 	保稅區分	c=2 d=0.000868038 t=30955
bao wei 	包圍	c=2 d=7.81082e-06 t=30955
bao xia 	包下	c=1 d=9.91229e-15 t=30955
bao xian 	保險	c=10 d=2.48607e-13 t=30955
bao xian fei 	保險費	c=2 d=6.80205e-26 t=30955
bao zheng 	保證	c=1 d=1.78786e-12 t=30955
bao zhuang 	包裝	c=81 d=7.64196e-12 t=30955
bao zhuang hao 	包裝號	c=1 d=4.76773e-22 t=30955
bei 	唄	c=6 d=6.73996e-13 t=30955
bei 	背	c=1 d=1.67854e-05 t=30955
bei 	被	c=10 d=0.00946646 t=30955
bei fen 	備份	c=14 d=0.843699 t=30955
bei hai 	貝海	c=1 d=2.17695e-05 t=30955
bei jing 	北京	c=2 d=0.00740944 t=30955
bei jing 	背景	c=10 d=3.17242e-09 t=30955
bei jing se 	背景色	c=5 d=3.25534e-06 t=30955
bei ke 	備課	c=1 d=1.12865e-12 t=30955
bei song 	背誦	c=1 d=3.52051e-13 t=30955
bei wang 	備忘	c=1 d=1.63032e-15 t=30955
bei zhu 	備註	c=12 d=4.62605e-12 t=30955
bei zi 	被子	c=1 d=4.63488e-13 t=30955
ben 	本	c=2 d=0.000287381 t=30955
ben di 	本地	c=10 d=3.41325e-12 t=30955
ben di cang ku 	本地倉庫	c=1 d=1.35824e-14 t=30955
ben fang fa 	本方法	c=1 d=2.03116e-13 t=30955
ben ke 	本科	c=2 d=2.33744e-14 t=30955
ben pao 	奔跑	c=3 d=4.44534e-08 t=30955
ben shen 	本身	c=1 d=3.24984e-13 t=30955
ben wei 	本位	c=6 d=1.5179e-11 t=30955
ben wei bi 	本位幣	c=10 d=4.91474e-10 t=30955
ben wei bi dan jia 	本位幣單價	c=1 d=1.6919e-10 t=30955
ben wei bi zhong 	本位幣種	c=3 d=1.68346e-10 t=30955
ben yuan 	本源	c=1 d=0.367879 t=30955
ben zhi 	本質	c=2 d=2.76933e-13 t=30955
bi 	幣	c=1 d=6.91438e-13 t=30955
bi 	比	c=1 d=7.01889e-13 t=30955
bi bao 	閉包	c=2 d=5.81942e-14 t=30955
bi bei 	必備	c=1 d=4.0391e-12 t=30955
bi ding 	必定	c=1 d=1.02724e-22 t=30955
bi hu 	壁虎	c=2 d=3.36804e-13 t=30955
bi ji 	筆記	c=3 d=0.000223746 t=30955
bi ji ben 	筆記本	c=6 d=3.4065e-07 t=30955
bi jiao 	比較	c=5 d=8.2039e-13 t=30955
bi jing 	畢竟	c=2 d=0.00694315 t=30955
bi li 	比例	c=1 d=1.25877e-31 t=30955
bi lv 	比率	c=2 d=5.95929e-30 t=30955
bi te 	比特	c=3 d=7.34196e-13 t=30955
bi tian 	必填	c=5 d=1.46625e-10 t=30955
bi tian xiang 	必填項	c=3 d=1.66701e-12 t=30955
bi xu 	必須	c=9 d=3.88971e-12 t=30955
bi yao 	必要	c=1 d=1.15463e-15 t=30955
bi ye 	畢業	c=2 d=2.05433e-14 t=30955
bi ying 	必應	c=4 d=0.396531 t=30955
bi ying ci dian 	必應詞典	c=2 d=1.14073e-12 t=30955
bi zhi 	壁紙	c=4 d=2.58652 t=30955
bi zhong 	幣種	c=56 d=1.05215e-07 t=30955
bian 	編	c=1 d=1.09813e-13 t=30955
bian 	變	c=4 d=6.99228e-11 t=30955
bian cheng 	編程	c=28 d=0.391015 t=30955
bian dao 	變到	c=1 d=4.32152e-13 t=30955
bian geng 	變更	c=19 d=1.0058 t=30955
bian geng hou 	變更後	c=1 d=2.01581e-12 t=30955
