# Rime user dictionary
#@/db_name	double_pinyin_flypy.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	5468
#@/user_id	macbook
a 	啊	c=53 d=5.16558 t=5468
a he 	阿何	c=1 d=0.000139842 t=5468
a li 	阿里	c=0 d=9.58962e-09 t=5468
a li yun 	阿里雲	c=7 d=0.166127 t=5468
ai 	唉	c=3 d=0.00933129 t=5468
ai 	愛	c=0 d=2.06045e-06 t=5468
ai qi yi 	愛奇異	c=2 d=0.00822983 t=5468
ai ya 	哎呀	c=1 d=0.438235 t=5468
an 	安	c=1 d=1.07565e-05 t=5468
an 	按	c=4 d=0.294677 t=5468
an hui 	安徽	c=2 d=1.67523e-06 t=5468
an jian yin 	按鍵音	c=1 d=7.12134e-07 t=5468
an quan 	安全	c=1 d=5.01747e-05 t=5468
an shan 	鞍山	c=1 d=1.57317e-07 t=5468
an zhuang 	安裝	c=8 d=0.0949144 t=5468
ao er liang 	奧爾良	c=1 d=0.882497 t=5468
ba 	八	c=1 d=1 t=4498
ba 	吧	c=55 d=3.96139 t=5468
ba 	把	c=7 d=1.08258 t=5468
ba 	爸	c=2 d=1.96561 t=5187
ba ba 	爸爸	c=3 d=0.0357931 t=5468
ba dao 	霸道	c=1 d=1.75186e-08 t=5468
ba dian 	八點	c=0 d=0.0268474 t=5468
ba dian duo 	八點多	c=1 d=0.26982 t=5468
ba le 	拔了	c=1 d=1.96979e-05 t=5468
ba ma 	爸媽	c=4 d=0.610008 t=5468
bai 	白	c=1 d=0.0552531 t=5468
bai du 	百度	c=7 d=0.158545 t=5468
bai du yun 	百度雲	c=5 d=0.847894 t=5468
bai lao hui 	百老匯	c=1 d=1 t=4809
bai xin ru 	白心如	c=1 d=0.0239928 t=5468
bai xing tao 	白興桃	c=1 d=5.74365e-07 t=5468
bai ye 	白夜	c=12 d=2.16039e-06 t=5468
bai ye 	百業	c=1 d=1.67883e-07 t=5468
ban 	半	c=2 d=1.92312 t=5468
ban 	搬	c=1 d=8.87984e-07 t=5468
ban 	板	c=2 d=2.01682 t=4890
ban 	版	c=1 d=0.290835 t=5468
ban 	班	c=2 d=0.0180776 t=5468
ban ben 	版本	c=2 d=0.0002803 t=5468
ban dao 	搬到	c=1 d=1 t=4807
ban gong shi 	辦公室	c=1 d=0.0461896 t=5468
ban nian 	半年	c=1 d=0.511709 t=5468
ban nong 	班農	c=2 d=4.62354e-06 t=5468
ban ping 	半屏	c=1 d=0.0792617 t=5468
ban pu su 	半樸素	c=1 d=0.0254765 t=5468
ban wa gong 	搬瓦工	c=2 d=0.109701 t=5468
ban xiao shi 	半小時	c=1 d=1.62081e-05 t=5468
ban ye 	半夜	c=0 d=5.84356e-05 t=5468
ban zou 	伴奏	c=1 d=2.93149e-06 t=5468
