# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	51595
#@/user_id	macbook
a 	啊	c=254 d=4.68748 t=51595
a 	阿	c=2 d=2.43132e-11 t=51595
a a 	啊啊	c=1 d=5.65892e-38 t=51595
a er fa 	阿爾法	c=1 d=1.48156e-07 t=51595
a ha ha 	啊哈哈	c=1 d=1.20757e-13 t=51595
a li 	阿里	c=3 d=0.249075 t=51595
a li yun 	阿里雲	c=12 d=9.69066e-05 t=51595
ai 	唉	c=14 d=3.48311e-05 t=51595
ai 	埃	c=1 d=7.48901e-11 t=51595
ai 	愛	c=5 d=0.927496 t=51595
ai 	艾	c=1 d=6.63156e-51 t=51595
ai che 	愛車	c=0 d=7.87164e-10 t=51595
ai che de 	愛車的	c=1 d=7.91109e-09 t=51595
ai chi 	愛吃	c=0 d=1.15341e-33 t=51595
ai da 	捱打	c=0 d=4.54463e-18 t=51595
ai da lei 	捱打類	c=1 d=4.56741e-17 t=51595
ai ga dong 	唉噶棟	c=1 d=3.92039e-14 t=51595
ai ke ke 	愛可可	c=2 d=0.309983 t=51595
ai ma 	捱罵	c=0 d=3.11424e-42 t=51595
ai qi yi 	愛奇藝	c=6 d=2.58703e-06 t=51595
ai she 	艾舍	c=1 d=1.03151e-12 t=51595
ai she er 	艾舍爾	c=2 d=1.94079e-07 t=51595
ai ya 	哎呀	c=3 d=7.81348e-10 t=51595
ai zuan yan 	唉鑽研	c=1 d=1.03326e-32 t=51595
an 	安	c=2 d=0.113042 t=51595
an 	按	c=48 d=0.439487 t=51595
an 	暗	c=0 d=3.2984e-12 t=51595
an bi li 	按比例	c=1 d=5.89608e-21 t=51595
an ci xu 	按次序	c=1 d=1.22519e-07 t=51595
an den deng an 	按㩐登岸	c=1 d=3.90084e-14 t=51595
an hui 	安徽	c=10 d=7.30288e-09 t=51595
an hui sheng 	安徽省	c=3 d=6.56301e-06 t=51595
an jian 	按鍵	c=2 d=2.28421e-05 t=51595
an jian 	案件	c=1 d=7.0335e-08 t=51595
an jie 	按揭	c=1 d=3.39665e-07 t=51595
an jie ren 	按揭人	c=1 d=3.69912e-07 t=51595
an ju 	安居	c=1 d=2.86749e-11 t=51595
an ju ke 	安居客	c=2 d=4.81064e-08 t=51595
an li 	案例	c=1 d=4.43144e-05 t=51595
an li hao 	案例號	c=1 d=0.000443861 t=51595
an niu 	按鈕	c=112 d=0.759127 t=51595
an pai 	安排	c=2 d=1.98546e-10 t=51595
an quan 	安全	c=8 d=0.035443 t=51595
an ren yi 	按任意	c=1 d=5.75148e-23 t=51595
an shi 	暗示	c=1 d=3.56267e-06 t=51595
an shi jian 	暗時間	c=6 d=0.496585 t=51595
an shun xu 	按順序	c=1 d=2.78179e-07 t=51595
an xi 	安息	c=0 d=4.16281e-15 t=51595
an xia 	按下	c=2 d=6.80799e-07 t=51595
an xin 	安心	c=1 d=3.5259e-31 t=51595
an xu yao 	按需要	c=1 d=9.61935e-15 t=51595
an ya 	按壓	c=1 d=5.26648e-16 t=51595
an yi xia 	按一下	c=1 d=1 t=50270
an zhao 	按照	c=2 d=2.48559e-06 t=51595
an zhu 	按住	c=3 d=2.69613 t=50287
an zhuang 	安裝	c=70 d=0.538687 t=51595
an zhuang bao 	安裝包	c=2 d=1.41796e-42 t=51595
an zhuo 	安卓	c=6 d=6.68931e-06 t=51595
ang ke sai la 	昂克塞拉	c=1 d=1.01315e-36 t=51595
ang li 	昂利	c=1 d=1 t=47435
ao 	敖	c=1 d=1.57752e-10 t=51595
ao ge ye 	熬個夜	c=1 d=3.81567e-19 t=51595
ao li ao 	奧利奧	c=1 d=1.60605e-15 t=51595
ao mi 	奧祕	c=3 d=1.16243e-06 t=51595
ao ye 	熬夜	c=1 d=2.73516e-14 t=51595
ao you 	傲遊	c=1 d=5.65989e-40 t=51595
ba 	八	c=4 d=3.604e-07 t=51595
ba 	吧	c=256 d=2.86838 t=51595
ba 	巴	c=0 d=4.16281e-15 t=51595
ba 	把	c=78 d=0.970934 t=51595
ba 	拔	c=1 d=1 t=50115
ba 	爸	c=1 d=1 t=49017
ba 	罷	c=0 d=3.5174e-33 t=51595
ba 	霸	c=2 d=1.96079 t=51003
ba ba 	八八	c=1 d=2.33471e-34 t=51595
ba ba 	爸爸	c=2 d=0.193013 t=51595
ba ba 	粑粑	c=1 d=2.97469e-31 t=51595
ba chai shi 	把差事	c=1 d=6.01007e-11 t=51595
ba chu lai 	拔出來	c=1 d=1 t=50154
ba da 	八大	c=0 d=1.60081e-07 t=51595
ba da fang 	八大方	c=7 d=3.57876e-06 t=51595
ba dian 	八點	c=1 d=8.30512e-22 t=51595
ba diao 	拔掉	c=1 d=1 t=50083
ba he 	巴赫	c=1 d=6.73178e-51 t=51595
ba hua 	把話	c=1 d=1.49045e-48 t=51595
ba jiu qian 	八九千	c=1 d=2.58835e-12 t=51595
ba la 	巴拉	c=0 d=1.11367e-31 t=51595
ba la ba la 	巴拉巴拉	c=1 d=0.00562801 t=51595
ba lie 	八列	c=1 d=4.14995e-07 t=51595
ba ma 	爸媽	c=11 d=0.494109 t=51595
ba ni 	把你	c=5 d=6.92758e-06 t=51595
ba qian 	把錢	c=1 d=7.28896e-16 t=51595
ba she 	跋涉	c=1 d=1.31743e-08 t=51595
ba shi wan 	八十萬	c=1 d=4.6141e-19 t=51595
ba ta 	把它	c=3 d=2.36763e-21 t=51595
ba xian 	八仙	c=1 d=4.78333e-31 t=51595
ba xian cheng 	吧線程	c=1 d=2.23936e-14 t=51595
bai 	拜	c=0 d=3.37191e-36 t=51595
bai 	擺	c=1 d=3.23198e-07 t=51595
bai 	白	c=7 d=0.583914 t=51595
bai 	百	c=1 d=2.27166e-06 t=51595
bai bai 	拜拜	c=1 d=0.025223 t=51595
bai da 	白搭	c=1 d=5.61634e-08 t=51595
bai da 	百搭	c=1 d=5.56046e-08 t=51595
bai du 	百度	c=17 d=0.189191 t=51595
bai du bai ke 	百度百科	c=1 d=2.56792e-07 t=51595
bai du yi xia 	百度一下	c=1 d=1.18056e-41 t=51595
bai du yun 	百度暈	c=1 d=7.99061e-09 t=51595
bai du yun 	百度雲	c=4 d=9.44362e-06 t=51595
bai fen 	百分	c=2 d=3.06939e-06 t=51595
bai fen bi 	百分比	c=6 d=1.93078e-05 t=51595
bai fen shu 	百分數	c=2 d=5.79138e-08 t=51595
bai han shu jiao 	拜函數教	c=1 d=3.3888e-35 t=51595
bai hua 	白話	c=2 d=1.68356e-13 t=51595
bai huan 	白歡	c=1 d=4.7293e-15 t=51595
bai jiang 	百將	c=0 d=1.48843e-33 t=51595
bai jiang da ji 	百將大集	c=2 d=1.28858e-31 t=51595
bai jiao 	白交	c=1 d=0.0117371 t=51595
bai jie 	白潔	c=1 d=1.42739e-10 t=51595
bai ke 	百科	c=5 d=5.5739e-07 t=51595
bai long 	白龍	c=0 d=1.33466e-08 t=51595
bai long si 	白龍寺	c=1 d=1.34057e-07 t=51595
bai long si 	白龍死	c=1 d=7.56302e-09 t=51595
bai ming dan 	白名單	c=1 d=3.92786e-07 t=51595
bai pao 	白跑	c=1 d=2.81702e-08 t=51595
bai ping 	白屏	c=1 d=6.87874e-11 t=51595
bai se 	白色	c=5 d=9.66119e-06 t=51595
bai shi 	百世	c=2 d=0.380983 t=51595
bai shi hui tong 	百世匯通	c=1 d=0.000523486 t=51595
bai tian 	白天	c=1 d=8.79891e-25 t=51595
bai wei 	百位	c=0 d=1.42294e-33 t=51595
bai wei jiang ren 	百位匠人	c=1 d=1.43007e-32 t=51595
bai xin ru 	白心如	c=2 d=6.0684e-07 t=51595
bai xing tao 	白興桃	c=4 d=6.52415e-06 t=51595
ban 	伴	c=1 d=3.01348e-07 t=51595
ban 	半	c=5 d=8.11954e-05 t=51595
ban 	搬	c=6 d=0.401368 t=51595
ban 	板	c=7 d=0.0985112 t=51595
ban 	版	c=10 d=0.913959 t=51595
ban 	班	c=5 d=0.995012 t=51595
ban 	辦	c=6 d=0.135335 t=51595
ban ban 	搬搬	c=2 d=0.0378169 t=51595
ban ben 	版本	c=34 d=1.04431 t=51595
ban ben ku 	版本庫	c=5 d=2.08655e-06 t=51595
ban bian 	半邊	c=1 d=2.36469e-43 t=51595
ban che 	班車	c=2 d=2.69958e-07 t=51595
ban dao 	搬到	c=1 d=0.00479587 t=51595
ban de 	搬的	c=0 d=2.91676e-36 t=51595
ban de 	辦的	c=1 d=1 t=47395
ban de jia 	搬的家	c=1 d=2.93138e-35 t=51595
ban fa 	辦法	c=3 d=3.92786e-07 t=51595
ban ge 	半個	c=2 d=2.66763e-14 t=51595
ban ge yue 	半個月	c=1 d=4.79818e-38 t=51595
ban gong 	辦公	c=1 d=6.74368e-13 t=51595
ban gong shi 	辦公室	c=1 d=8.01265e-12 t=51595
ban gong yong 	辦公用	c=2 d=8.8124e-06 t=51595
ban jia 	搬家	c=5 d=2.50545e-09 t=51595
ban jia le 	搬家了	c=1 d=1.5969e-36 t=51595
ban jia qi 	半加器	c=1 d=1.38832e-07 t=51595
ban jian du 	半監督	c=1 d=7.99604e-17 t=51595
ban jiao 	半角	c=2 d=1.28472e-06 t=51595
ban jin qu 	搬進去	c=1 d=0.108067 t=51595
ban le 	搬了	c=1 d=1 t=47454
ban li 	辦理	c=3 d=2.86651e-07 t=51595
ban lv 	伴侶	c=4 d=0.718924 t=51595
ban nian 	半年	c=2 d=3.07007e-20 t=51595
ban shi 	辦事	c=1 d=3.50165e-38 t=51595
ban wa gong 	搬瓦工	c=8 d=1.93511e-09 t=51595
ban wa gong 	板瓦工	c=2 d=5.99902e-11 t=51595
ban wan 	搬完	c=2 d=1.91393 t=47482
ban xiang shui 	搬箱水	c=1 d=8.68739e-22 t=51595
ban xiao shi 	半小時	c=1 d=6.19205e-09 t=51595
ban ze zhi shu 	半澤直樹	c=3 d=4.54172e-18 t=51595
ban zhang 	班長	c=1 d=3.43056e-32 t=51595
ban zhang 	辦張	c=1 d=2.31471e-21 t=51595
ban zhu ren 	班主任	c=1 d=1 t=49869
bang 	棒	c=6 d=7.5227e-05 t=51595
bang 	邦	c=2 d=5.35899e-15 t=51595
bang de 	綁的	c=1 d=0.000212834 t=51595
bang ding 	綁定	c=19 d=0.0281559 t=51595
bang ku 	綁庫	c=2 d=9.28217e-07 t=51595
bang le 	棒了	c=1 d=2.30513e-31 t=51595
bang mang 	幫忙	c=1 d=1.19449e-32 t=51595
bang ni 	幫你	c=3 d=0.00248366 t=51595
bang ta 	幫她	c=1 d=0.0175975 t=51595
bang wo 	幫我	c=10 d=0.0023128 t=51595
bang zhu 	幫助	c=3 d=2.38725e-31 t=51595
bao 	包	c=58 d=1.42716 t=51595
bao 	報	c=6 d=1.31631e-06 t=51595
bao 	孢	c=1 d=1.97012e-07 t=51595
bao 	寶	c=5 d=1.37166e-12 t=51595
bao 	抱	c=1 d=3.86796e-32 t=51595
bao ban 	包辦	c=1 d=1.25488e-24 t=51595
bao ban 	報班	c=1 d=1.26117e-24 t=51595
bao bao 	寶寶	c=2 d=9.04088e-51 t=51595
bao biao 	報表	c=5 d=2.74163e-05 t=51595
bao biao li 	報表裏	c=1 d=5.04262e-05 t=51595
bao chi 	保持	c=5 d=1.04797e-08 t=51595
bao cun 	保存	c=149 d=2.89807 t=51595
bao cun dao 	保存到	c=1 d=3.80517e-16 t=51595
bao cun zai 	保存在	c=1 d=3.11276e-06 t=51595
bao cuo 	報錯	c=19 d=0.000761668 t=51595
bao gao 	報告	c=1 d=1.85988e-06 t=51595
bao ge 	抱個	c=1 d=5.38219e-07 t=51595
bao gong tou 	包工頭	c=1 d=5.52126e-13 t=51595
bao gui 	寶貴	c=1 d=4.22357e-08 t=51595
bao han 	包含	c=5 d=0.00379394 t=51595
bao jia 	報價	c=370 d=0.246515 t=51595
bao jia dan 	報價單	c=1 d=3.19156e-06 t=51595
bao jia dan hao 	報價單號	c=1 d=7.92189e-25 t=51595
bao jia fang 	報價方	c=5 d=0.0544757 t=51595
bao jia ri qi 	報價日期	c=1 d=6.39714e-10 t=51595
bao jing 	報警	c=1 d=1 t=51379
bao kuo 	包括	c=4 d=2.32355e-07 t=51595
bao lai 	寶來	c=1 d=3.84276e-14 t=51595
bao li 	包裏	c=3 d=4.22666e-06 t=51595
bao li 	暴力	c=1 d=5.01815e-36 t=51595
bao liu 	保留	c=13 d=4.39579e-06 t=51595
bao lu 	暴露	c=1 d=8.72499e-14 t=51595
bao man 	暴漫	c=1 d=2.07035e-32 t=51595
bao ming 	包名	c=4 d=0.00219006 t=51595
bao ming 	報名	c=7 d=0.000907208 t=51595
bao ming fei 	報名費	c=1 d=0.00032882 t=51595
bao pan 	報盤	c=1 d=1.90236e-07 t=51595
bao qian 	抱歉	c=3 d=1.1396e-08 t=51595
bao shui 	保稅	c=15 d=0.00137752 t=51595
bao shui qu fen 	保稅區分	c=2 d=0.000868038 t=51595
bao shun feng 	包順豐	c=1 d=1.01594e-39 t=51595
bao tang 	煲湯	c=1 d=3.38823e-33 t=51595
bao wei 	包圍	c=2 d=7.81082e-06 t=51595
bao xia 	包下	c=1 d=1.60108e-08 t=51595
bao xian 	保險	c=10 d=0.00348252 t=51595
bao xian fei 	保險費	c=2 d=1.0987e-19 t=51595
bao xiao 	報銷	c=1 d=1.17795e-15 t=51595
bao xiu 	保修	c=5 d=0.148558 t=51595
bao you 	包郵	c=1 d=8.61266e-38 t=51595
bao zha 	爆炸	c=1 d=3.37363e-41 t=51595
bao zhang 	保障	c=1 d=7.81589e-43 t=51595
bao zheng 	保證	c=1 d=0.019989 t=51595
bao zheng guo 	保證過	c=1 d=1.46044e-44 t=51595
bao zheng ni 	保證你	c=1 d=0.20089 t=51595
bao zhi bao liang 	保質保量	c=1 d=2.46328e-47 t=51595
bao zhuang 	包裝	c=81 d=1.23437e-05 t=51595
bao zhuang hao 	包裝號	c=1 d=7.70107e-16 t=51595
bao zou 	抱走	c=1 d=4.02169e-20 t=51595
bao zou 	暴走	c=21 d=0.00794669 t=51595
bei 	北	c=1 d=7.77559e-41 t=51595
bei 	唄	c=33 d=0.243326 t=51595
bei 	背	c=1 d=1.67854e-05 t=51595
bei 	被	c=16 d=0.0272589 t=51595
bei bao 	背包	c=9 d=5.38097 t=50215
bei da 	北大	c=1 d=1.06252e-37 t=51595
bei fen 	備份	c=20 d=1.83725 t=51595
