# Rime user dictionary
#@/db_name	luna_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	1.1.2
#@/tick	30955
#@/user_id	win7
a 	啊	c=27 d=3.3874 t=29248
a 	阿	c=2 d=3.58053e-006 t=25716
a er fa 	阿爾法	c=1 d=1 t=27810
a ha ha 	啊哈哈	c=1 d=1 t=25006
a li 	阿里	c=3 d=1 t=29014
a li yun 	阿里雲	c=6 d=1.50662 t=28700
ai 	唉	c=1 d=0.0478349 t=25716
ai 	愛	c=2 d=1.71555 t=30832
ai che 	愛車	c=0 d=0.000115923 t=25716
ai che de 	愛車的	c=1 d=0.00116504 t=25716
ai da 	捱打	c=0 d=6.69273e-013 t=25716
ai da lei 	捱打類	c=1 d=6.72627e-012 t=25716
ai ga dong 	唉噶棟	c=1 d=1 t=24781
ai ke ke 	愛可可	c=2 d=1.00377 t=30720
ai she 	艾舍	c=1 d=1.51907e-007 t=25716
ai she er 	艾舍爾	c=2 d=0.0285814 t=25716
ai ya 	哎呀	c=1 d=1 t=26761
an 	按	c=15 d=1 t=29653
an 	暗	c=0 d=4.85744e-007 t=25716
an ci xu 	按次序	c=1 d=0.018043 t=25716
an den deng an 	按㩐登岸	c=1 d=1 t=24780
an hui 	安徽	c=1 d=0.00107547 t=25716
an hui sheng 	安徽省	c=3 d=0.966513 t=25716
an jian 	按鍵	c=1 d=0.0104099 t=25716
an jian 	案件	c=1 d=0.010358 t=25716
an li 	案例	c=1 d=0.100339 t=29410
an li hao 	案例號	c=1 d=1 t=29411
an niu 	按鈕	c=110 d=1.76723 t=30786
an pai 	安排	c=1 d=5.99251e-006 t=25716
an quan 	安全	c=8 d=1 t=29125
an ren yi 	按任意	c=1 d=8.47001e-018 t=25716
an shi 	暗示	c=1 d=0.524663 t=25716
an shi jian 	暗時間	c=3 d=2.363e-005 t=25716
an shun xu 	按順序	c=1 d=0.0409665 t=25716
an xi 	安息	c=0 d=0.1 t=24793
an xia 	按下	c=1 d=0.100259 t=25716
an xu yao 	按需要	c=1 d=1 t=24500
an zhao 	按照	c=1 d=1 t=27198
an zhuang 	安裝	c=24 d=2.51774 t=29270
an zhuo 	安卓	c=3 d=0.985112 t=25716
ao mi 	奧祕	c=3 d=0.171187 t=25716
ba 	八	c=2 d=0.0530749 t=25716
ba 	吧	c=36 d=1.00031 t=29984
ba 	把	c=39 d=1.11416 t=30439
ba da 	八大	c=0 d=0.0235746 t=25716
ba da fang 	八大方	c=7 d=2.98771 t=28228
ba lie 	八列	c=1 d=0.0611149 t=25716
ba ni 	把你	c=3 d=0.249075 t=25716
ba she 	跋涉	c=1 d=0.00194013 t=25716
ba ta 	把它	c=1 d=2.68146e-016 t=25716
bai 	擺	c=1 d=1 t=27966
bai 	白	c=3 d=1.02774 t=28004
bai 	百	c=1 d=0.33454 t=25716
bai da 	白搭	c=1 d=0.008271 t=25716
bai da 	百搭	c=1 d=0.0081887 t=25716
bai du 	百度	c=1 d=0.000117088 t=25716
bai du bai ke 	百度百科	c=1 d=0.0378169 t=25716
bai du yun 	百度暈	c=1 d=0.00117675 t=25716
bai fen 	百分	c=2 d=0.452019 t=25716
bai fen bi 	百分比	c=5 d=0.028407 t=25716
bai fen shu 	百分數	c=2 d=0.00852877 t=25716
bai ke 	百科	c=1 d=0.082085 t=25716
bai long 	白龍	c=0 d=0.00196551 t=25716
bai long si 	白龍寺	c=1 d=0.0197421 t=25716
bai long si 	白龍死	c=1 d=0.00111378 t=25716
bai ming dan 	白名單	c=1 d=1 t=28005
bai shi 	百世	c=1 d=1.00014 t=30758
bai shi hui tong 	百世匯通	c=1 d=1 t=29444
bai xing tao 	白興桃	c=4 d=1.96567 t=27631
ban 	伴	c=1 d=0.0443785 t=25716
ban 	半	c=1 d=0.0028799 t=25716
ban 	搬	c=1 d=4.41722e-006 t=25716
ban 	板	c=5 d=0.519442 t=25716
ban 	版	c=5 d=0.903287 t=25716
ban 	班	c=1 d=0.034562 t=25716
ban 	辦	c=2 d=1 t=27621
ban ben 	版本	c=25 d=1.08374 t=28352
ban ben ku 	版本庫	c=5 d=0.307279 t=25716
ban che 	班車	c=2 d=1 t=27930
ban fa 	辦法	c=2 d=0.0578443 t=25716
ban jia qi 	半加器	c=1 d=0.0204453 t=25716
ban jiao 	半角	c=2 d=0.189196 t=25716
ban li 	辦理	c=2 d=6.81135e-016 t=25716
ban lv 	伴侶	c=1 d=1.9119e-007 t=25716
ban wa gong 	板瓦工	c=2 d=8.83455e-006 t=25716
ban zhang 	辦張	c=1 d=3.4088e-016 t=25716
bang 	棒	c=2 d=1 t=28354
bang de 	綁的	c=1 d=1 t=29264
bang ding 	綁定	c=18 d=2.07544 t=29481
bang ku 	綁庫	c=2 d=1 t=28177
bang ni 	幫你	c=1 d=0.0434998 t=25716
bao 	包	c=45 d=0.324568 t=30034
bao 	報	c=6 d=1.00001 t=27684
bao 	孢	c=1 d=0.0290133 t=25716
bao biao 	報表	c=2 d=0.130146 t=25716
bao chi 	保持	c=5 d=0.00154331 t=25716
bao cun 	保存	c=126 d=3.43629 t=30831
bao cun zai 	保存在	c=1 d=0.458406 t=25716
bao cuo 	報錯	c=17 d=1 t=28296
bao gao 	報告	c=1 d=0.273898 t=25716
bao ge 	抱個	c=1 d=0.0792617 t=25716
bao gui 	寶貴	c=1 d=0.00621991 t=25716
bao han 	包含	c=4 d=1.99501 t=29702
bao jia 	報價	c=370 d=3.35237 t=30433
bao jia dan 	報價單	c=1 d=1 t=28424
bao jia dan hao 	報價單號	c=1 d=1.16663e-019 t=25716
bao jia fang 	報價方	c=5 d=1 t=30373
bao jia ri qi 	報價日期	c=1 d=9.42085e-005 t=25716
bao kuo 	包括	c=1 d=5.14799e-013 t=25716
bao li 	包裏	c=2 d=0.622446 t=25716
bao liu 	保留	c=13 d=1.00468 t=26702
bao lu 	暴露	c=1 d=1 t=24941
bao ming 	包名	c=3 d=1.91779 t=29600
bao pan 	報盤	c=1 d=0.0280154 t=25716
bao shui 	保稅	c=15 d=2.93742 t=29422
bao shui qu fen 	保稅區分	c=2 d=1.97531 t=29409
bao wei 	包圍	c=2 d=1 t=28603
bao xia 	包下	c=1 d=0.00235786 t=25716
bao xian 	保險	c=10 d=0.0591367 t=25716
bao xian fei 	保險費	c=2 d=1.61802e-014 t=25716
bao zheng 	保證	c=1 d=0.425283 t=25716
bao zhuang 	包裝	c=81 d=1.81781 t=25716
bao zhuang hao 	包裝號	c=1 d=1.13411e-010 t=25716
bei 	唄	c=6 d=0.160325 t=25716
bei 	背	c=1 d=1 t=28756
bei 	被	c=10 d=1 t=30023
bei fen 	備份	c=14 d=1.00004 t=30921
bei hai 	貝海	c=1 d=1 t=28808
bei jing 	北京	c=2 d=1 t=29974
bei jing 	背景	c=10 d=1.00123 t=27041
bei jing se 	背景色	c=5 d=2.92937 t=28213
bei ke 	備課	c=1 d=0.268474 t=25716
bei song 	背誦	c=1 d=0.0837432 t=25716
bei wang 	備忘	c=1 d=0.000387808 t=25716
bei zhu 	備註	c=12 d=1.10041 t=25716
bei zi 	被子	c=1 d=0.110251 t=25716
ben 	本	c=2 d=1.0003 t=29324
ben di 	本地	c=10 d=0.811917 t=25716
ben di cang ku 	本地倉庫	c=1 d=0.00323088 t=25716
ben fang fa 	本方法	c=1 d=0.0483156 t=25716
ben ke 	本科	c=2 d=0.00556013 t=25716
ben pao 	奔跑	c=3 d=1.93707 t=27437
ben shen 	本身	c=1 d=0.0773047 t=25716
ben wei 	本位	c=6 d=1.07132 t=25959
ben wei bi 	本位幣	c=10 d=1.62643 t=26571
ben wei bi dan jia 	本位幣單價	c=1 d=1 t=26455
ben wei bi zhong 	本位幣種	c=3 d=1 t=26454
ben yuan 	本源	c=1 d=1 t=30755
ben zhi 	本質	c=2 d=0.0658748 t=25716
bi 	幣	c=1 d=0.164474 t=25716
bi 	比	c=1 d=0.16696 t=25716
bi bao 	閉包	c=2 d=0.0138428 t=25716
bi bei 	必備	c=1 d=0.960789 t=25716
bi ding 	必定	c=1 d=2.44351e-011 t=25716
bi hu 	壁虎	c=2 d=0.0801164 t=25716
bi ji 	筆記	c=3 d=1 t=29274
bi ji ben 	筆記本	c=6 d=3.94556 t=27702
bi jiao 	比較	c=5 d=0.195148 t=25716
bi jing 	畢竟	c=2 d=1 t=29961
bi li 	比例	c=1 d=2.99427e-020 t=25716
bi lv 	比率	c=2 d=1.41755e-018 t=25716
bi te 	比特	c=3 d=0.174645 t=25716
bi tian 	必填	c=5 d=2.03777 t=26284
bi tian xiang 	必填項	c=3 d=0.396535 t=25716
bi xu 	必須	c=9 d=0.925254 t=25716
bi yao 	必要	c=1 d=0.000274654 t=25716
bi ye 	畢業	c=2 d=0.00488668 t=25716
bi ying 	必應	c=4 d=1 t=30770
bi ying ci dian 	必應詞典	c=2 d=0.271349 t=25716
bi zhi 	壁紙	c=4 d=2.97521 t=30927
bi zhong 	幣種	c=56 d=1.00274 t=27741
bian 	編	c=1 d=0.0261214 t=25716
bian 	變	c=4 d=1.0216 t=26274
bian cheng 	編程	c=28 d=1.00099 t=30767
bian dao 	變到	c=1 d=0.102797 t=25716
bian geng 	變更	c=19 d=1.98532 t=30819
bian geng hou 	變更後	c=1 d=0.479505 t=25716
bian hao 	編號	c=20 d=1.08235 t=27497
bian hua 	變化	c=10 d=2.45301 t=27522
bian ji 	編輯	c=66 d=1.84487 t=29650
bian ji bu 	編輯部	c=1 d=0.774916 t=25716
