# Rime user dictionary
#@/db_name	luna_pinyin.userdb.userdb.kct
#@/db_type	userdb
#@/rime_version	1.1.2
#@/tick	24192
#@/user_id	win7
a 	啊	c=76 d=3.54831 t=24192
a 	阿	c=2 d=3.58053e-006 t=24192
a a 	啊啊	c=1 d=3.91839e-008 t=24192
a li 	阿里	c=1 d=0.118837 t=24192
a li yun 	阿里雲	c=7 d=0.40113 t=24192
ai 	唉	c=8 d=2.49313 t=24192
ai 	愛	c=3 d=5.05428e-018 t=24192
ai 	艾	c=1 d=4.59187e-021 t=24192
ai che 	愛車	c=0 d=0.000115923 t=24192
ai che de 	愛車的	c=1 d=0.00116504 t=24192
ai chi 	愛吃	c=0 d=0.000798652 t=24192
ai da 	捱打	c=0 d=6.69273e-013 t=24192
ai da lei 	捱打類	c=1 d=6.72627e-012 t=24192
ai ma 	捱罵	c=0 d=2.15639e-012 t=24192
ai qi yi 	愛奇藝	c=4 d=1.57246 t=24192
ai she 	艾舍	c=1 d=1.51907e-007 t=24192
ai she er 	艾舍爾	c=2 d=0.0285814 t=24192
ai ya 	哎呀	c=2 d=6.36415e-008 t=24192
ai zuan yan 	唉鑽研	c=1 d=5.01048e-018 t=24192
an 	安	c=1 d=2.21098e-011 t=24192
an 	按	c=12 d=0.188897 t=24192
an 	暗	c=0 d=4.85744e-007 t=24192
an ci xu 	按次序	c=1 d=0.018043 t=24192
an hui 	安徽	c=9 d=0.00107547 t=24192
an hui sheng 	安徽省	c=3 d=0.966513 t=24192
an jian 	按鍵	c=1 d=0.0104099 t=24192
an jian 	案件	c=1 d=0.010358 t=24192
an niu 	按鈕	c=102 d=2.91148 t=24192
an pai 	安排	c=2 d=2.92392e-005 t=24192
an quan 	安全	c=7 d=0.903213 t=24192
an ren yi 	按任意	c=1 d=8.47001e-018 t=24192
an shi 	暗示	c=1 d=0.524663 t=24192
an shi jian 	暗時間	c=3 d=2.363e-005 t=24192
an shun xu 	按順序	c=1 d=0.0409665 t=24192
an xia 	按下	c=1 d=0.100259 t=24192
an xin 	安心	c=1 d=1.70977e-016 t=24192
an zhuang 	安裝	c=32 d=2.19212 t=24192
an zhuang bao 	安裝包	c=2 d=9.81837e-013 t=24192
an zhuo 	安卓	c=5 d=0.985112 t=24192
ang ke sai la 	昂克塞拉	c=1 d=7.01532e-007 t=24192
ao mi 	奧祕	c=3 d=0.171187 t=24192
ao you 	傲遊	c=1 d=2.74458e-025 t=24192
ba 	八	c=2 d=0.0530749 t=24192
ba 	吧	c=47 d=1.99591 t=24192
ba 	把	c=35 d=1.7923 t=24192
ba 	罷	c=0 d=1.70565e-018 t=24192
ba ba 	八八	c=1 d=0.000161662 t=24192
ba ba 	粑粑	c=1 d=0.205975 t=24192
ba da 	八大	c=0 d=0.0235746 t=24192
ba da fang 	八大方	c=1 d=0.236928 t=24192
ba he 	巴赫	c=1 d=4.66127e-021 t=24192
ba hua 	把話	c=1 d=1.03203e-018 t=24192
ba la 	巴拉	c=0 d=5.40039e-017 t=24192
ba lie 	八列	c=1 d=0.0611149 t=24192
ba ma 	爸媽	c=1 d=8.85384e-010 t=24192
ba ni 	把你	c=3 d=0.249075 t=24192
ba she 	跋涉	c=1 d=0.00194013 t=24192
ba ta 	把它	c=3 d=3.48673e-016 t=24192
ba xian 	八仙	c=1 d=2.31952e-016 t=24192
bai 	拜	c=0 d=1.6351e-021 t=24192
bai 	擺	c=1 d=0.0746459 t=24192
bai 	白	c=3 d=0.0682212 t=24192
bai 	百	c=1 d=0.33454 t=24192
bai da 	白搭	c=1 d=0.008271 t=24192
bai da 	百搭	c=1 d=0.0081887 t=24192
bai du 	百度	c=5 d=0.621885 t=24192
bai du bai ke 	百度百科	c=1 d=0.0378169 t=24192
bai du yi xia 	百度一下	c=1 d=8.17451e-012 t=24192
bai du yun 	百度暈	c=1 d=0.00117675 t=24192
bai du yun 	百度雲	c=1 d=0.628135 t=24192
bai fen 	百分	c=2 d=0.452019 t=24192
bai fen bi 	百分比	c=5 d=0.028407 t=24192
bai fen shu 	百分數	c=2 d=0.00852877 t=24192
bai han shu jiao 	拜函數教	c=1 d=1.64329e-020 t=24192
bai jiang 	百將	c=0 d=0.00103063 t=24192
bai jiang da ji 	百將大集	c=2 d=0.0892247 t=24192
bai ke 	百科	c=4 d=0.082085 t=24192
bai long 	白龍	c=0 d=0.00196551 t=24192
bai long si 	白龍寺	c=1 d=0.0197421 t=24192
bai long si 	白龍死	c=1 d=0.00111378 t=24192
